#               ucoord              vcoord                 hjd            eff_wave            vis2data             vis2err             vis2syn                chi2
 -3.382052000000e+02   5.608402100000e+02   2.456451372100e+06   8.729386570000e-04   3.694046000000e-02   5.000000000000e-02   1.683291979134e-02   1.617252692971e-01
  1.366697080000e+02   3.275155940000e+02   2.456451372100e+06   8.729386570000e-04   1.782754200000e-01   5.000000000000e-02   9.919824451208e-02   2.501279873259e+00
 -2.450204610000e+00  -2.102890320000e+02   2.456451372100e+06   8.729386570000e-04  -2.210022000000e-02   5.000000000000e-02   1.108191325329e-03   2.154521424983e-01
 -4.563783570000e+02  -6.959376220000e+02   2.456451372100e+06   8.729386570000e-04   9.467386000000e-02   5.000000000000e-02   2.603213069960e-03   3.390801610446e+00
  8.994961550000e+01  -9.436563870000e+01   2.456451372100e+06   8.729386570000e-04   4.406017400000e-01   5.000000000000e-02   2.438990324736e-01   1.547678205929e+01
 -4.223904800000e+01  -1.754164700000e+01   2.456451372100e+06   8.729386570000e-04   1.062390690000e+00   5.000000000000e-02   8.649790883064e-01   1.558853619329e+01
  2.702398070000e+02  -1.585816860000e+01   2.456451372100e+06   8.729386570000e-04   1.170867500000e-01   5.000000000000e-02   5.782972276211e-02   1.404558110829e+00
 -1.097605290000e+02   3.687020260000e+02   2.456451372100e+06   8.729386570000e-04   1.104592900000e-01   5.000000000000e-02   1.020327210426e-01   2.840282575730e-02
 -4.438029860000e+01  -5.891795350000e+01   2.456451372100e+06   8.729386570000e-04   8.729682600000e-01   5.000000000000e-02   6.749873161316e-01   1.567858165401e+01
 -3.195104220000e+01  -1.270180280000e+02   2.456451372100e+06   8.729386570000e-04   3.078183500000e-01   5.000000000000e-02   2.399980574846e-01   1.839836830748e+00
  1.882761380000e+02   5.143358760000e+02   2.456451372100e+06   8.729386570000e-04   3.963239000000e-02   5.000000000000e-02   1.802000589669e-02   1.868380586516e-01
  1.955550840000e+02   1.338518220000e+02   2.456451372100e+06   8.729386570000e-04   6.229661000000e-02   5.000000000000e-02   1.495989784598e-02   8.963057270209e-01
 -3.154349670000e+02   4.138213500000e+02   2.456451372100e+06   8.729386570000e-04   1.375031500000e-01   5.000000000000e-02   5.969753954560e-03   6.920413710099e+00
 -2.726992190000e+02   5.840971680000e+02   2.456451372100e+06   8.729386570000e-04   1.172265800000e-01   5.000000000000e-02   1.849416643381e-02   3.899235795442e+00
 -2.720658870000e+02   4.313116760000e+02   2.456451372100e+06   8.729386570000e-04  -5.501086000000e-02   5.000000000000e-02   2.308492315933e-03   1.314203259967e+00
 -9.051696780000e+02   4.973071900000e+02   2.456451372100e+06   8.729386570000e-04   1.563800600000e-01   5.000000000000e-02   4.060067658429e-05   9.776810616615e+00
 -1.163956830000e+02   4.122720340000e+02   2.456451372100e+06   8.729386570000e-04   8.704361000000e-02   5.000000000000e-02   4.095462709665e-02   8.496777380260e-01
 -4.009372560000e+02   3.424400630000e+02   2.456451372100e+06   8.729386570000e-04   2.315382100000e-01   5.000000000000e-02   1.078412774950e-02   1.949294593210e+01
 -2.695334780000e+02   3.330777280000e+02   2.456451372100e+06   8.729386570000e-04   1.178094900000e-01   5.000000000000e-02   2.960764802992e-02   3.111825970766e+00
  6.088466190000e+02  -4.783898320000e+02   2.456451372100e+06   8.729386570000e-04   2.202201600000e-01   5.000000000000e-02   1.660206180532e-04   1.936952970365e+01
