 Niter                routsh                   vsh                evelsh                tempsh                denssh                vgamma     nlc   nvis2     ncp  nt3amp nvisamp nvisphi    nsed    nspe  ntotal          chi2lc        chi2vis2          chi2cp       chi2t3amp      chi2visamp      chi2visphi         chi2sed         chi2spe       chi2total        r_chi2lc      r_chi2vis2        r_chi2cp     r_chi2t3amp    r_chi2visamp    r_chi2visphi       r_chi2sed       r_chi2spe     r_chi2total
    25     22.38999257526534     401.1585189937944    0.9934001565034056     9570.984244873527 1.857462726338937e-13     75.76646008066351       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       195.29054       195.29054               0               0               0               0               0               0               0      0.97645272      0.97645272
    26     23.99082922072416     384.0080600472814     1.048578680893429      9727.16880797952 1.867723449933397e-13     72.57871760755133       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       194.23949       194.23949               0               0               0               0               0               0               0      0.97119746      0.97119746
    27     25.69606256421771     400.5344955508677     1.063222202525258     9333.457659038993 1.890654743372559e-13     68.74719092786678       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       191.42166       191.42166               0               0               0               0               0               0               0       0.9571083       0.9571083
    28     27.10219321994718     401.0689746330244     1.059969615905592     9686.946406753639 1.777217866420613e-13     70.89158515497978       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       193.30125       193.30125               0               0               0               0               0               0               0      0.96650624      0.96650624
    29     25.68259983380808     410.1383565762725     1.088789275828631                 10000 1.858275602916321e-13     60.14505959951882       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       201.17348       201.17348               0               0               0               0               0               0               0       1.0058674       1.0058674
    30     22.97658541466735     391.0567882729817     1.034465535020941     9341.448798196467 1.834551304575406e-13     78.78386392628106       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       191.00863       191.00863               0               0               0               0               0               0               0      0.95504313      0.95504313
    31     25.56271881329718     390.3088595140919     1.125435200249448     9481.912083914865 1.819818941117975e-13      70.3811995025963       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       198.60941       198.60941               0               0               0               0               0               0               0      0.99304707      0.99304707
    32      23.1831741347733     398.4461041238688     1.026408917439916     9548.716204633862 1.848051780033697e-13      74.4201449361467       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       190.25223       190.25223               0               0               0               0               0               0               0      0.95126117      0.95126117
    33     23.69266380585475     412.2719998194674     1.062866754708254     9266.243319693651 1.803000994223614e-13     74.18275108524027       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       191.14442       191.14442               0               0               0               0               0               0               0      0.95572211      0.95572211
    34      29.0774612388438     411.5599381591232     1.073807024912585     9680.280691608934 1.888369035919631e-13     70.60581295993101       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       189.44428       189.44428               0               0               0               0               0               0               0      0.94722139      0.94722139
    35      33.6773469621332     421.5358616208919     1.088737789021933     9869.716333927605 1.938795151512477e-13     68.07750465441877       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       193.79928       193.79928               0               0               0               0               0               0               0      0.96899639      0.96899639
    36     22.51138048412718     405.5960426037178     1.062395375369878     9292.521786778649 1.935718364065963e-13     75.28139997755714       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        193.8282        193.8282               0               0               0               0               0               0               0      0.96914102      0.96914102
    37     25.95449003599218     402.2007416256977     1.060576055771663     9588.340251759892  1.81684299083195e-13     71.98903886062412       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        189.5002        189.5002               0               0               0               0               0               0               0        0.947501        0.947501
    38     24.00365363044814      406.685937044151     1.058260739832346     9730.971398733598 1.797677569600481e-13     78.50641018225592       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       192.23396       192.23396               0               0               0               0               0               0               0      0.96116979      0.96116979
    39     25.27296033077532     402.0723559241886      1.06198183685203     9432.836093962644 1.867410449929539e-13     71.18699574146407       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       188.83475       188.83475               0               0               0               0               0               0               0      0.94417374      0.94417374
    40     26.53381789711796     391.5485514771252      1.05832121503061     9853.716662835268 1.906801137318067e-13     72.07226491029037       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        188.9867        188.9867               0               0               0               0               0               0               0      0.94493352      0.94493352
    41     28.43564044912222     412.9276840916586     1.094674328054478     9949.267139212054 1.899334104547162e-13     65.23395239725268       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       193.25992       193.25992               0               0               0               0               0               0               0      0.96629958      0.96629958
    42     24.34134917328107      396.524512227651     1.049517733279325     9493.403383450364 1.850747004568345e-13     75.39638604402396       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       188.91732       188.91732               0               0               0               0               0               0               0      0.94458661      0.94458661
    43     28.61511007518552      404.897837608699     1.110433884248639     9723.562125713494 1.886732037267088e-13     69.92308509001282       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       187.59071       187.59071               0               0               0               0               0               0               0      0.93795356      0.93795356
    44     31.33107804539163     408.1237043511142        1.152446367653     9810.985086253309 1.906072165883784e-13     67.67455516694588       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       189.73164       189.73164               0               0               0               0               0               0               0      0.94865822      0.94865822
    45     29.05028896319912     396.8089198902436     1.031888044145496     9489.121829018564 1.864786718610051e-13     71.94533630663712       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       190.19317       190.19317               0               0               0               0               0               0               0      0.95096585      0.95096585
