 Niter                routsh                   vsh                evelsh                tempsh                denssh                vgamma     nlc   nvis2     ncp  nt3amp nvisamp nvisphi    nsed    nspe  ntotal          chi2lc        chi2vis2          chi2cp       chi2t3amp      chi2visamp      chi2visphi         chi2sed         chi2spe       chi2total        r_chi2lc      r_chi2vis2        r_chi2cp     r_chi2t3amp    r_chi2visamp    r_chi2visphi       r_chi2sed       r_chi2spe     r_chi2total
   136     39.39676893161559     442.1628983901548     1.298036689981557     9599.220959971022 2.125523850943964e-13     71.54315680574371       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.46295       174.46295               0               0               0               0               0               0               0      0.87231473      0.87231473
   137     40.25605576431107     439.3972336989073     1.296737675487421     9666.051521967884 2.135586945042385e-13     70.35465538291061       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.58091       174.58091               0               0               0               0               0               0               0      0.87290457      0.87290457
   138     39.81099397350341     443.6455473424974     1.299184418871855     9594.434930942443 2.132378178588058e-13     71.31832019831708       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.45446       174.45446               0               0               0               0               0               0               0       0.8722723       0.8722723
   139     39.26236900112198     442.7641592070944      1.29934011957497     9597.960369927567 2.125507330813537e-13      71.9222711671194       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.37959       174.37959               0               0               0               0               0               0               0      0.87189793      0.87189793
   140     38.54690571255401     442.2973669843986     1.298881474749304     9571.459079880806 2.112030015066786e-13     72.58823213919101       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.59179       174.59179               0               0               0               0               0               0               0      0.87295894      0.87295894
   141     40.15117761465209     442.5828100102144      1.29864203162649     9622.913835292104  2.13738494832772e-13     70.84861339909918       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0         174.416         174.416               0               0               0               0               0               0               0         0.87208         0.87208
   142     37.28365077551743     443.6117548592122     1.297506106005468     9536.473241410329 2.121267515554568e-13     72.94214324866893       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.41942       174.41942               0               0               0               0               0               0               0      0.87209708      0.87209708
   143     38.47823573406152     443.3965337028694     1.298409923813064     9587.004038787709 2.118215732378885e-13     71.76951521993662       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.34278       174.34278               0               0               0               0               0               0               0      0.87171391      0.87171391
   144     37.94248406624887     443.9369808155648     1.298410417620387      9584.13961339762 2.109722406829206e-13     71.79116614480878       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.33908       174.33908               0               0               0               0               0               0               0      0.87169538      0.87169538
   145     38.14644425034384     444.1406355986633     1.298906745909535     9575.488852860111  2.12262711687491e-13     72.03524156407357       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.24691       174.24691               0               0               0               0               0               0               0      0.87123453      0.87123453
   146     37.52128190970797     445.1295042029176     1.299341773873524     9563.622799304656 2.121178749840383e-13     72.28128394323851       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.14771       174.14771               0               0               0               0               0               0               0      0.87073856      0.87073856
   147     36.96898185385754     443.1526389331275     1.297811468686459     9570.004171342756 2.112039646314925e-13     72.58106608647401       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.28907       174.28907               0               0               0               0               0               0               0      0.87144534      0.87144534
   148     39.39143541129022     443.0333927743844     1.299591569113177     9639.142837519013   2.1200743529352e-13     70.83688398205719       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.33393       174.33393               0               0               0               0               0               0               0      0.87166963      0.87166963
   149     36.27066117103494     444.2125318781056     1.298772155987718     9558.111911046206 2.098186721697875e-13     72.92650402594626       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.45693       174.45693               0               0               0               0               0               0               0      0.87228467      0.87228467
   150      39.1810485037478     442.9902404771872     1.298674562716797     9606.713354230629 2.127585391670259e-13     71.36808605581095       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.32507       174.32507               0               0               0               0               0               0               0      0.87162536      0.87162536
   151     37.13236295210699     444.1065431045898      1.29785221575318     9585.983037845099 2.110757026164298e-13     71.66811788748991       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.19294       174.19294               0               0               0               0               0               0               0      0.87096472      0.87096472
   152     37.86690078415192     445.0804170373856     1.299480121947069     9594.994490356596 2.115593334574556e-13     71.59618708185462       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.15207       174.15207               0               0               0               0               0               0               0      0.87076035      0.87076035
   153     38.07818640537194     443.8939313609658     1.299173486409682     9602.680616801961 2.126020427004001e-13      71.6527088674996       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.08713       174.08713               0               0               0               0               0               0               0      0.87043567      0.87043567
   154     38.14603757493347     443.8724066336663     1.299555020804329     9611.951118504132 2.134169437091399e-13       71.583480228845       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.99833       173.99833               0               0               0               0               0               0               0      0.86999165      0.86999165
   155     36.21410244821168     445.0771906885736     1.297980152147276     9538.613486342272 2.120366842283406e-13     72.85585644584712       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.19959       174.19959               0               0               0               0               0               0               0      0.87099795      0.87099795
   156     35.43550733724206     445.8159930562329     1.298665688353816     9548.343013667876 2.110449620419397e-13     72.82057783543877       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.27186       174.27186               0               0               0               0               0               0               0      0.87135932      0.87135932
   157     37.13641581492715     446.5413793079944     1.299813522273272      9577.83181066412 2.125465357142888e-13     71.68743505443064       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.01548       174.01548               0               0               0               0               0               0               0       0.8700774       0.8700774
   158     39.23685982410433     444.1198206021428     1.299341913912401     9609.322567337749 2.132060628612913e-13     71.07020904512984       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        174.2854        174.2854               0               0               0               0               0               0               0        0.871427        0.871427
   159     36.38584545895763     445.3919499427103     1.298834744743462     9563.587902085344 2.115852372467776e-13     72.38298563786154       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.05511       174.05511               0               0               0               0               0               0               0      0.87027554      0.87027554
   160     38.51551238338335      444.963542721181                   1.3     9627.376899911045 2.120638583477027e-13      70.8773068320596       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.15451       174.15451               0               0               0               0               0               0               0      0.87077256      0.87077256
   161      38.0583016899135     446.2198568440284                   1.3     9593.805302430197 2.133542252033711e-13      71.8014417052734       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.08964       174.08964               0               0               0               0               0               0               0      0.87044819      0.87044819
   162     36.52274869414718     445.7816286017198     1.299008394547218     9541.220907870638 2.127961917573211e-13     72.90029771844165       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.12923       174.12923               0               0               0               0               0               0               0      0.87064614      0.87064614
   163     36.72330959671037     445.8984914736266     1.299371030133532     9555.678789929767 2.137130027475233e-13     72.61612101417563       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       174.06225       174.06225               0               0               0               0               0               0               0      0.87031126      0.87031126
   164     36.80293770015513      446.105733398331     1.299519130293747     9584.402477856744 2.136861704754356e-13     72.04263650977079       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.89752       173.89752               0               0               0               0               0               0               0      0.86948758      0.86948758
   165     36.44376559537871     446.5938479960378     1.299607808503858     9594.792317132788 2.144703182211342e-13     71.92331279303693       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.85226       173.85226               0               0               0               0               0               0               0      0.86926131      0.86926131
   166     37.77514321612642     445.7243487976347                   1.3     9624.661505711478 2.135658958567572e-13     71.09796109276608       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.90201       173.90201               0               0               0               0               0               0               0      0.86951004      0.86951004
   167     36.14520406243108     445.1209512065282     1.299060708819484     9582.362512245678 2.130784192951692e-13     71.96232356843184       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.86744       173.86744               0               0               0               0               0               0               0      0.86933718      0.86933718
   168     37.28749431087443     445.1831364878972     1.299586238247935     9629.383598851415 2.125081139335656e-13     70.92971177761504       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.88079       173.88079               0               0               0               0               0               0               0      0.86940394      0.86940394
   169     37.92550806593278     445.6200735338757                   1.3     9643.406385617856 2.149435049965741e-13     70.67842253384697       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.91845       173.91845               0               0               0               0               0               0               0      0.86959224      0.86959224
   170     37.43796846029846     444.1635422438854     1.299456403185264     9651.020668690329 2.147811962898246e-13     71.03763561041666       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.68437       173.68437               0               0               0               0               0               0               0      0.86842187      0.86842187
   171     37.58874478298412      442.974623711831      1.29927784364126     9687.615097703434 2.158985265775925e-13     70.71273588840967       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.60009       173.60009               0               0               0               0               0               0               0      0.86800043      0.86800043
   172     36.24258243630902     446.5332539442686     1.299622512266517     9642.122687250083 2.147379825844577e-13     70.85134232252382       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.71654       173.71654               0               0               0               0               0               0               0      0.86858271      0.86858271
   173     35.90213673543513       445.08998051419     1.299051703826351     9610.239520680434 2.131429138263181e-13      71.8140399470808       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.76856       173.76856               0               0               0               0               0               0               0       0.8688428       0.8688428
   174     35.42816609167772     444.7742491559493     1.298735605101801      9624.17707224313 2.143795289559886e-13     71.63319433959994       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.7612        173.7612               0               0               0               0               0               0               0        0.868806        0.868806
   175     35.29603892386415     445.1791656883711     1.298865822471821     9617.719470233769 2.160611158866546e-13     72.03593784207928       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.89123       173.89123               0               0               0               0               0               0               0      0.86945615      0.86945615
   176     36.78963046412186     445.1821437880157     1.299406134303907     9626.467566697003 2.133963644218378e-13      71.2062682937311       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.72978       173.72978               0               0               0               0               0               0               0      0.86864888      0.86864888
   177     36.65313797287109     445.2617484969027     1.299506493728414      9679.44224165661 2.155967922339405e-13     70.75130762636222       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.50712       173.50712               0               0               0               0               0               0               0       0.8675356       0.8675356
   178     36.90710492809109     445.3321471420899     1.299729386182878     9727.982106362077 2.168559787033261e-13     70.14579965532741       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.44343       173.44343               0               0               0               0               0               0               0      0.86721717      0.86721717
   179     36.50902288416093     443.3682847560769     1.298999919937047     9711.409033179267 2.150001134687061e-13     70.19781402252065       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.47796       173.47796               0               0               0               0               0               0               0      0.86738982      0.86738982
   180     37.25294712701311     444.2982536518872     1.299538763318118     9729.685000464562 2.169465844109849e-13     69.76834489362341       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.53587       173.53587               0               0               0               0               0               0               0      0.86767933      0.86767933
   181     38.33517811588231     444.4553198421069                   1.3     9750.916758309011 2.165656544329798e-13     69.32757401911208       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.72211       173.72211               0               0               0               0               0               0               0      0.86861056      0.86861056
   182       37.488896294025     443.8051505614045     1.299650007478033     9790.109327725808 2.186052489708445e-13     69.12826864010792       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.51526       173.51526               0               0               0               0               0               0               0      0.86757629      0.86757629
   183     35.66125470164543     444.3152514137458     1.298939477607951     9678.724325919398 2.161158238056575e-13     70.94052778839223       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.5241        173.5241               0               0               0               0               0               0               0      0.86762051      0.86762051
   184      37.5600744696642     441.4979831347431     1.299089287121912     9799.718943201429 2.184027760612462e-13     69.44648797360325       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.4424        173.4424               0               0               0               0               0               0               0      0.86721198      0.86721198
   185     38.21882048634179     438.9803477299803      1.29882267454961     9878.517071177102 2.202351727996404e-13     68.74406079914297       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.79406       173.79406               0               0               0               0               0               0               0      0.86897028      0.86897028
   186     36.20435535188246     444.5643998414847     1.299371103574054     9791.594481247412 2.180769818959958e-13     69.16301176944862       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.39497       173.39497               0               0               0               0               0               0               0      0.86697485      0.86697485
   187     35.51216063633162     445.3592879063116     1.299417733540451     9843.584173019401 2.191662095551975e-13     68.38814970996809       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.59413       173.59413               0               0               0               0               0               0               0      0.86797063      0.86797063
   188     36.19062241614325     443.3294852979611      1.29905429731584     9770.161072080567 2.174057232242739e-13     69.90562505617663       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.26813       173.26813               0               0               0               0               0               0               0      0.86634064      0.86634064
   189     35.65946006070832     442.8451011209981       1.2988120643147      9790.39910788857 2.176352926309184e-13     69.97426513745324       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.2702        173.2702               0               0               0               0               0               0               0      0.86635102      0.86635102
   190     37.95877074634353     442.9838988308409      1.29969185626197      9851.60066201279 2.186664503024734e-13     68.38847458400259       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.52421       173.52421               0               0               0               0               0               0               0      0.86762103      0.86762103
   191     36.23563371281996     443.9824132680196     1.299127572271456     9721.943409942745 2.167534804298615e-13     70.30251448729481       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.37825       173.37825               0               0               0               0               0               0               0      0.86689125      0.86689125
   192     35.71337496022896     443.5530872520538     1.298807181323029     9717.493687612023 2.155597689569587e-13     70.59214901468256       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.42732       173.42732               0               0               0               0               0               0               0      0.86713661      0.86713661
   193     36.42803239544904     444.0515538893737     1.299393022659343     9798.222200302816 2.193514562885146e-13      69.6540486296571       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.3023        173.3023               0               0               0               0               0               0               0       0.8665115       0.8665115
   194     35.87025950730487     441.6608270857888     1.298551435238999     9805.062491766919 2.183274169156242e-13     69.54214598829358       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.35775       173.35775               0               0               0               0               0               0               0      0.86678875      0.86678875
   195     34.65401831161198     445.5492724101507     1.299012250338994     9735.106837782731 2.167554998424967e-13      70.2733436749145       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.62397       173.62397               0               0               0               0               0               0               0      0.86811984      0.86811984
   196     36.83356043015115      442.510805453595     1.299070027926183     9783.565916846754 2.179909570065588e-13     69.65320189893106       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.31283       173.31283               0               0               0               0               0               0               0      0.86656415      0.86656415
   197     36.87411297768794     443.1467410266871     1.299381971672262     9839.356169783714 2.204089029633176e-13     68.81470026191805       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.44454       173.44454               0               0               0               0               0               0               0      0.86722269      0.86722269
   198     36.00355946459371     443.4515006957122     1.298950878910337     9747.959308154946 2.167720524585484e-13     70.14778682649143       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.31961       173.31961               0               0               0               0               0               0               0      0.86659805      0.86659805
   199     36.31620062360486      441.764462055332     1.298677974533332     9750.710318450838 2.174567135451313e-13     70.57209585949957       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.33283       173.33283               0               0               0               0               0               0               0      0.86666417      0.86666417
   200     36.31177789959565     441.6071315579014     1.298771639923222       9829.9503592582 2.190146260496889e-13     69.52245359905496       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.2476        173.2476               0               0               0               0               0               0               0      0.86623802      0.86623802
   201      36.3498499929835     440.4194907028423     1.298593673749105     9883.953833915928 2.201451988596026e-13     69.13242315493503       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.31461       173.31461               0               0               0               0               0               0               0      0.86657305      0.86657305
   202     36.82432490254101     443.9108192308364     1.299421178517086     9755.127233264455 2.176697592752812e-13     70.27625796830998       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.27621       173.27621               0               0               0               0               0               0               0      0.86638105      0.86638105
   203     36.54775854588641     444.5226366531278     1.299542373884004     9810.951711518406 2.186114778891574e-13     69.14769546670746       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.3262        173.3262               0               0               0               0               0               0               0      0.86663102      0.86663102
   204     36.48986906531602     443.8330930036789     1.299326274046336     9795.891363251514 2.183227868031509e-13     69.50379556490549       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.26619       173.26619               0               0               0               0               0               0               0      0.86633094      0.86633094
   205     37.02250290513832     442.9627954487365     1.299394601218999     9829.680073513155  2.19813050423941e-13     69.35734074585363       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0         173.284         173.284               0               0               0               0               0               0               0      0.86641999      0.86641999
   206     36.25548276457662     444.0541540225677     1.299383643300759     9809.444850376814 2.192015103483914e-13     69.75330528905485       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.19344       173.19344               0               0               0               0               0               0               0      0.86596718      0.86596718
   207     35.96644393178936      444.825828307054     1.299540450988047     9822.384317141845 2.198067870193077e-13     69.80335698411675       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.18917       173.18917               0               0               0               0               0               0               0      0.86594584      0.86594584
   208     36.50714797805882      442.771497059349     1.299109791343834     9802.842605867098 2.179927879766998e-13     69.80222800981537       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.1825        173.1825               0               0               0               0               0               0               0      0.86591251      0.86591251
   209     36.54670576936372     442.1314686443367     1.298968175686079     9805.152808649238 2.173134538207924e-13      69.8763176998945       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.21844       173.21844               0               0               0               0               0               0               0      0.86609219      0.86609219
   210     35.74089249267637     443.7964893701904     1.299013276159122     9762.438910108071 2.169244396921931e-13     70.24723164827273       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.26727       173.26727               0               0               0               0               0               0               0      0.86633633      0.86633633
   211     35.57792635865215     442.8103556345418     1.298850731408381      9839.42897597131 2.188192909798236e-13     69.31863898580397       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.26387       173.26387               0               0               0               0               0               0               0      0.86631933      0.86631933
   212     36.00739682588621     443.2186463462773     1.299149757307141     9847.484438452111 2.195545162826807e-13     69.49360987447977       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.12726       173.12726               0               0               0               0               0               0               0      0.86563632      0.86563632
   213     35.91578403075769     443.1632268704354     1.299197487302791     9886.146121637883 2.206289128118842e-13     69.28760228363134       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.09077       173.09077               0               0               0               0               0               0               0      0.86545387      0.86545387
   214     36.51542392871353     442.5405547741296     1.299252182178415     9896.442337601209 2.212706241879919e-13     68.83212682750323       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.22402       173.22402               0               0               0               0               0               0               0      0.86612008      0.86612008
   215     35.77496564387305     442.0731050641248     1.298914487001893     9896.506875907664 2.208548895386478e-13     69.35167333173638       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.1372        173.1372               0               0               0               0               0               0               0      0.86568599      0.86568599
   216     36.75258811227721     442.8500922431228     1.299411281504353     9871.995229833319 2.210369182149165e-13     69.54784135948202       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.1269        173.1269               0               0               0               0               0               0               0       0.8656345       0.8656345
   217     36.16567330889423     444.4676365481703     1.299703586849889     9895.488803404802 2.215156805334604e-13     69.35248933304007       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.07088       173.07088               0               0               0               0               0               0               0       0.8653544       0.8653544
   218     36.09262101354351     445.8978890433048                   1.3     9928.258025478102 2.227662077753462e-13     69.26750720003263       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.14477       173.14477               0               0               0               0               0               0               0      0.86572385      0.86572385
   219     35.84544373983658      444.176573923289     1.299373512818521      9828.67898032966 2.193413678436469e-13      70.2162702731041       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.02351       173.02351               0               0               0               0               0               0               0      0.86511757      0.86511757
   220     35.51045364539811     444.9945834978686     1.299434178138574     9794.797301693885 2.183767396714744e-13     70.90834199590454       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0        173.0451        173.0451               0               0               0               0               0               0               0      0.86522552      0.86522552
   221     36.35409033944318      441.674882262443      1.29902959795238     9904.835221851627 2.206500652871108e-13     69.38267787948634       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.06015       173.06015               0               0               0               0               0               0               0      0.86530077      0.86530077
   222     35.76236708030181     443.3636752445126     1.299433526466109     9958.374471787885  2.23349823433189e-13     69.24395681034471       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.06003       173.06003               0               0               0               0               0               0               0      0.86530017      0.86530017
   223     36.49034989329719      444.492257299866     1.299801843962788     9885.332733707393 2.213193665027547e-13     69.65860598129316       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.01389       173.01389               0               0               0               0               0               0               0      0.86506946      0.86506946
   224     36.84804201800925     445.7018334177366                   1.3     9879.745662607258 2.215516049848081e-13     69.81207230607156       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.12011       173.12011               0               0               0               0               0               0               0      0.86560055      0.86560055
   225     35.42531468523302     444.2626584731159     1.299435236946473     9914.290214406432 2.212314872557655e-13     69.49935949415121       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       172.97857       172.97857               0               0               0               0               0               0               0      0.86489286      0.86489286
   226     34.76167797171092     444.9689415881124     1.299447214667534     9935.437706692988 2.213287717761901e-13      69.4751185614858       0       0       0       0       0       0       0     200     200               0               0               0               0               0               0               0       173.02713       173.02713               0               0               0               0               0               0               0      0.86513567      0.86513567
