#                  hjd            eff_wave            eff_band                flux               error             fluxsyn             dataset               phase                chi2
  2.456451372100e+06   6.568040201000e-07   6.560000000000e-07   5.174270193700e+00   7.249090974700e-01   4.834958894460e+00   1.000000000000e+00   1.978196725249e-01   2.190935256264e-01
  2.456451372100e+06   6.568216080400e-07   6.560000000000e-07   4.762743189600e+00   7.249090974700e-01   4.574810906169e+00   1.000000000000e+00   1.978196725249e-01   6.721027633215e-02
  2.456451372100e+06   6.568391959800e-07   6.560000000000e-07   4.351985128100e+00   7.249090974700e-01   4.315139845791e+00   1.000000000000e+00   1.978196725249e-01   2.583429870170e-03
  2.456451372100e+06   6.568567839200e-07   6.560000000000e-07   3.928471012900e+00   7.249090974700e-01   4.058540378692e+00   1.000000000000e+00   1.978196725249e-01   3.219459344202e-02
  2.456451372100e+06   6.568743718600e-07   6.560000000000e-07   3.582272567000e+00   7.249090974700e-01   3.807607170242e+00   1.000000000000e+00   1.978196725249e-01   9.662481542534e-02
  2.456451372100e+06   6.568919598000e-07   6.560000000000e-07   3.277739273700e+00   7.249090974700e-01   3.564934885806e+00   1.000000000000e+00   1.978196725249e-01   1.569598230316e-01
  2.456451372100e+06   6.569095477400e-07   6.560000000000e-07   3.010776028400e+00   7.249090974700e-01   3.332063677564e+00   1.000000000000e+00   1.978196725249e-01   1.964359454790e-01
  2.456451372100e+06   6.569271356800e-07   6.560000000000e-07   2.747307905300e+00   7.249090974700e-01   3.105688358171e+00   1.000000000000e+00   1.978196725249e-01   2.444114388139e-01
  2.456451372100e+06   6.569447236200e-07   6.560000000000e-07   2.516547374200e+00   7.249090974700e-01   2.886095089322e+00   1.000000000000e+00   1.978196725249e-01   2.598806489929e-01
  2.456451372100e+06   6.569623115600e-07   6.560000000000e-07   2.316040656500e+00   7.249090974700e-01   2.674228246295e+00   1.000000000000e+00   1.978196725249e-01   2.441484486991e-01
  2.456451372100e+06   6.569798995000e-07   6.560000000000e-07   2.146811184600e+00   7.249090974700e-01   2.471032204371e+00   1.000000000000e+00   1.978196725249e-01   2.000392578669e-01
  2.456451372100e+06   6.569974874400e-07   6.560000000000e-07   1.997836675500e+00   7.249090974700e-01   2.277451338828e+00   1.000000000000e+00   1.978196725249e-01   1.487828196599e-01
  2.456451372100e+06   6.570150753800e-07   6.560000000000e-07   1.854912415400e+00   7.249090974700e-01   2.090186238536e+00   1.000000000000e+00   1.978196725249e-01   1.053367995926e-01
  2.456451372100e+06   6.570326633200e-07   6.560000000000e-07   1.734926270900e+00   7.249090974700e-01   1.905945258189e+00   1.000000000000e+00   1.978196725249e-01   5.565722646069e-02
  2.456451372100e+06   6.570502512600e-07   6.560000000000e-07   1.625799917700e+00   7.249090974700e-01   1.730415276143e+00   1.000000000000e+00   1.978196725249e-01   2.082685985392e-02
  2.456451372100e+06   6.570678392000e-07   6.560000000000e-07   1.481114383500e+00   7.249090974700e-01   1.569405685645e+00   1.000000000000e+00   1.978196725249e-01   1.483435759122e-02
  2.456451372100e+06   6.570854271400e-07   6.560000000000e-07   1.349547804200e+00   7.249090974700e-01   1.428725879941e+00   1.000000000000e+00   1.978196725249e-01   1.193006433353e-02
  2.456451372100e+06   6.571030150800e-07   6.560000000000e-07   1.304900853000e+00   7.249090974700e-01   1.314188167670e+00   1.000000000000e+00   1.978196725249e-01   1.641395432836e-04
  2.456451372100e+06   6.571206030200e-07   6.560000000000e-07   1.329032901200e+00   7.249090974700e-01   1.228929159992e+00   1.000000000000e+00   1.978196725249e-01   1.906924582761e-02
  2.456451372100e+06   6.571381909500e-07   6.560000000000e-07   1.320556040300e+00   7.249090974700e-01   1.168092467515e+00   1.000000000000e+00   1.978196725249e-01   4.423490359997e-02
  2.456451372100e+06   6.571557788900e-07   6.560000000000e-07   1.286497272700e+00   7.249090974700e-01   1.125393831672e+00   1.000000000000e+00   1.978196725249e-01   4.939039883122e-02
  2.456451372100e+06   6.571733668300e-07   6.560000000000e-07   1.249833040100e+00   7.249090974700e-01   1.094549101039e+00   1.000000000000e+00   1.978196725249e-01   4.588661042396e-02
  2.456451372100e+06   6.571909547700e-07   6.560000000000e-07   1.210594717900e+00   7.249090974700e-01   1.069274083254e+00   1.000000000000e+00   1.978196725249e-01   3.800529063379e-02
  2.456451372100e+06   6.572085427100e-07   6.560000000000e-07   1.153925313400e+00   7.249090974700e-01   1.045718246432e+00   1.000000000000e+00   1.978196725249e-01   2.228148594656e-02
  2.456451372100e+06   6.572261306500e-07   6.560000000000e-07   1.127729793200e+00   7.249090974700e-01   1.033497801659e+00   1.000000000000e+00   1.978196725249e-01   1.689777952717e-02
  2.456451372100e+06   6.572437185900e-07   6.560000000000e-07   1.120114884900e+00   7.249090974700e-01   1.030960138471e+00   1.000000000000e+00   1.978196725249e-01   1.512592135728e-02
