#               ucoord              vcoord                 hjd            eff_wave            vis2data             vis2err             vis2syn                chi2
 -1.105319480000e+02  -6.816999190000e+01   2.458656627197e+06   2.009710920000e-06   7.532303660000e-01   4.548119460000e-02   7.600820064545e-01   2.269475001666e-02
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.083928760000e-06   7.113878270000e-01   2.296750120000e-02   7.737756371498e-01   7.378566373696e+00
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.103084440000e-06   7.234502100000e-01   2.218639170000e-02   7.578786611557e-01   2.408028476523e+00
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.109689830000e-06   7.944132550000e-01   2.235833150000e-02   7.604454159737e-01   2.308112937825e+00
 -1.164291680000e+02  -5.233333590000e+01   2.458656680128e+06   2.116955770000e-06   7.986504670000e-01   7.975703900000e-02   7.662160992622e-01   1.653761313166e-01
 -1.162276960000e+02  -5.007420880000e+01   2.458656687567e+06   2.112374420000e-06   7.876829090000e-01   1.971226180000e-02   7.683628201485e-01   9.606060596322e-01
 -1.162262150000e+02  -5.005759760000e+01   2.458656687622e+06   2.131355590000e-06   7.871480680000e-01   1.582088270000e-02   7.719213366508e-01   9.263006090659e-01
 -1.146892090000e+02  -4.464693590000e+01   2.458656705562e+06   2.071578480000e-06   7.030324390000e-01   4.641667390000e-02   7.890154719353e-01   3.431448511973e+00
 -1.142450860000e+02  -4.373127520000e+01   2.458656708638e+06   2.076620560000e-06   7.368879120000e-01   4.814415410000e-02   7.919240593910e-01   1.306799408220e+00
 -1.135593210000e+02  -4.231741330000e+01   2.458656713386e+06   2.074020670000e-06   7.685523650000e-01   9.659957050000e-02   7.945535182953e-01   7.244940658154e-02
 -1.083069610000e+02  -7.071636270000e+01   2.458656618297e+06   1.990924830000e-06   7.442464630000e-01   1.318621450000e-02   7.815735340118e-01   8.013228992259e+00
 -1.083069610000e+02  -7.071636280000e+01   2.458656618297e+06   2.008124830000e-06   7.377581280000e-01   4.523467550000e-02   7.614242434502e-01   2.737228159963e-01
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   2.031614030000e-06   7.689170960000e-01   2.545247540000e-02   7.644568681717e-01   3.070817686774e-02
 -1.105319480000e+02  -6.816999170000e+01   2.458656627197e+06   2.050571110000e-06   7.655530360000e-01   5.074480770000e-02   7.681541442871e-01   2.627445058101e-03
 -1.153562490000e+02  -5.955262130000e+01   2.458656656316e+06   2.136491170000e-06   7.327141800000e-01   2.592053330000e-02   7.643095254898e-01   1.485793150869e+00
 -1.160201310000e+02  -5.707632160000e+01   2.458656664511e+06   2.141538360000e-06   7.829828900000e-01   9.901763150000e-02   7.665098905563e-01   2.767708196611e-02
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.161211940000e-06   8.074671570000e-01   2.921324280000e-02   7.701492309570e-01   1.631832065668e+00
 -1.164291720000e+02  -5.233347290000e+01   2.458656680128e+06   2.156281560000e-06   8.210189650000e-01   2.639733850000e-02   7.735008001328e-01   3.240403085069e+00
 -1.162261750000e+02  -5.005734510000e+01   2.458656687623e+06   2.152582530000e-06   7.917241170000e-01   7.385074470000e-02   7.757879495621e-01   4.656482876301e-02
 -1.146892090000e+02  -4.464693590000e+01   2.458656705562e+06   2.123811910000e-06   7.236208910000e-01   3.983240570000e-02   7.802450060844e-01   2.020830009750e+00
 -1.135593210000e+02  -4.231741330000e+01   2.458656713386e+06   2.103084430000e-06   7.890665950000e-01   3.963711670000e-02   7.818968892097e-01   3.271888978171e-02
 -1.083069610000e+02  -7.071636270000e+01   2.458656618297e+06   2.037162550000e-06   7.529918470000e-01   1.905199030000e-02   7.671785354614e-01   5.544742218267e-01
 -1.083069600000e+02  -7.071636290000e+01   2.458656618297e+06   2.056485650000e-06   7.467954980000e-01   6.066108810000e-02   7.709012031555e-01   1.579135105022e-01
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   2.081815050000e-06   7.692240170000e-01   4.836499820000e-02   7.740732431412e-01   1.005269539992e-02
 -1.105319470000e+02  -6.816999300000e+01   2.458656627197e+06   2.101499140000e-06   7.776022080000e-01   1.975308040000e-02   7.582808136940e-01   9.567693720122e-01
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.160815620000e-06   7.280639780000e-01   2.486639010000e-02   7.688427567482e-01   2.689322872750e+00
 -1.153562490000e+02  -5.955262120000e+01   2.458656656316e+06   2.181424470000e-06   7.461041640000e-01   2.730815540000e-02   7.725886106491e-01   9.405828931660e-01
 -1.160201330000e+02  -5.707631510000e+01   2.458656664511e+06   2.189218840000e-06   8.187990460000e-01   3.232061200000e-02   7.751943469048e-01   1.820151074641e+00
 -1.164291680000e+02  -5.233333590000e+01   2.458656680128e+06   2.196881110000e-06   8.275471890000e-01   3.513144180000e-02   7.806918621063e-01   1.778795397015e+00
 -1.162262150000e+02  -5.005759760000e+01   2.458656687622e+06   2.193182070000e-06   8.118988600000e-01   3.219862920000e-02   7.829300165176e-01   8.094453808053e-01
 -1.146891910000e+02  -4.464689260000e+01   2.458656705563e+06   2.160752640000e-06   7.263024770000e-01   3.413781260000e-02   7.867333889008e-01   3.133624222390e+00
 -1.137189040000e+02  -4.264643200000e+01   2.458656712281e+06   2.148312050000e-06   7.749170730000e-01   4.080625310000e-02   7.890961766243e-01   1.207380382102e-01
 -1.036101810000e+02  -7.502642730000e+01   2.458656602753e+06   1.995343740000e-06   7.024407130000e-01   3.170318820000e-02   7.862873673439e-01   6.994643725265e+00
 -1.036101810000e+02  -7.502642750000e+01   2.458656602753e+06   2.006249270000e-06   7.085854220000e-01   5.674008560000e-02   7.652882337570e-01   9.986865864028e-01
