# hjd ucoord vcoord vis2data vis2err eff_wave
2458656.65631643  -1.15356249e+02  -5.95526214e+01  6.88608859e-01  6.77233329e-02  1.99801128e-06
2458656.66451055  -1.16020130e+02  -5.70763276e+01  7.55968133e-01  4.10107827e-02  1.99618600e-06
2458656.66451060  -1.16020133e+02  -5.70763151e+01  7.52706750e-01  5.85144909e-02  2.01008042e-06
2458656.68012759  -1.16429173e+02  -5.23334938e+01  7.70145506e-01  6.13796462e-02  2.00727331e-06
2458656.68762276  -1.16226165e+02  -5.00572772e+01  7.52875590e-01  4.00135188e-02  2.00540716e-06
2458656.70556241  -1.14689209e+02  -4.46469359e+01  6.30434841e-01  4.00494551e-02  1.99224587e-06
2458656.65631644  -1.15356249e+02  -5.95526212e+01  7.06907846e-01  5.77001493e-02  2.01245836e-06
2458656.65631644  -1.15356249e+02  -5.95526212e+01  7.10346030e-01  3.54987589e-02  2.03016083e-06
2458656.66451060  -1.16020133e+02  -5.70763151e+01  7.79698637e-01  2.77915354e-02  2.03557725e-06
2458656.68012811  -1.16429168e+02  -5.23333359e+01  7.91769196e-01  2.45681440e-02  2.03848363e-06
2458656.68551764  -1.16283190e+02  -5.06965828e+01  7.77306941e-01  5.29058431e-02  2.03904525e-06
2458656.68762171  -1.16226215e+02  -5.00575976e+01  7.68258757e-01  9.90321973e-02  2.05003402e-06
2458656.70556255  -1.14689191e+02  -4.46468939e+01  6.61453194e-01  7.46704203e-02  2.01219848e-06
2458656.71338628  -1.13559308e+02  -4.23173904e+01  7.19594857e-01  5.92101464e-02  1.99984537e-06
2458656.62719708  -1.10531947e+02  -6.81699930e+01  7.38897075e-01  2.06653130e-02  1.99066062e-06
2458656.65631644  -1.15356249e+02  -5.95526213e+01  7.01033687e-01  6.79348864e-02  2.06004635e-06
2458656.66451057  -1.16020131e+02  -5.70763225e+01  7.68361138e-01  5.42283288e-02  2.06455767e-06
2458656.66451060  -1.16020133e+02  -5.70763151e+01  7.86585853e-01  2.50326884e-02  2.08300402e-06
2458656.68012811  -1.16429168e+02  -5.23333359e+01  7.94851405e-01  4.25245426e-02  2.07924083e-06
2458656.68762260  -1.16226173e+02  -5.00573272e+01  7.80900778e-01  4.28371172e-02  2.07539295e-06
2458656.70556254  -1.14689191e+02  -4.46468945e+01  6.81140536e-01  5.89896668e-02  2.04824384e-06
2458656.71338621  -1.13559321e+02  -4.23174133e+01  7.58782212e-01  4.20899049e-02  2.02804710e-06
2458656.62719708  -1.10531948e+02  -6.81699919e+01  7.53230366e-01  4.54811946e-02  2.00971092e-06
2458656.65631644  -1.15356249e+02  -5.95526212e+01  7.11387827e-01  2.29675012e-02  2.08392876e-06
2458656.65631644  -1.15356249e+02  -5.95526212e+01  7.23450210e-01  2.21863917e-02  2.10308444e-06
2458656.66451060  -1.16020133e+02  -5.70763151e+01  7.94413255e-01  2.23583315e-02  2.10968983e-06
2458656.68012811  -1.16429168e+02  -5.23333359e+01  7.98650467e-01  7.97570390e-02  2.11695577e-06
2458656.68756701  -1.16227696e+02  -5.00742088e+01  7.87682909e-01  1.97122618e-02  2.11237442e-06
2458656.68762171  -1.16226215e+02  -5.00575976e+01  7.87148068e-01  1.58208827e-02  2.13135559e-06
2458656.70556241  -1.14689209e+02  -4.46469359e+01  7.03032439e-01  4.64166739e-02  2.07157848e-06
2458656.70863769  -1.14245086e+02  -4.37312752e+01  7.36887912e-01  4.81441541e-02  2.07662056e-06
2458656.71338621  -1.13559321e+02  -4.23174133e+01  7.68552365e-01  9.65995705e-02  2.07402067e-06
2458656.61829692  -1.08306961e+02  -7.07163627e+01  7.44246463e-01  1.31862145e-02  1.99092483e-06
2458656.61829692  -1.08306961e+02  -7.07163628e+01  7.37758128e-01  4.52346755e-02  2.00812483e-06
2458656.62719708  -1.10531947e+02  -6.81699930e+01  7.68917096e-01  2.54524754e-02  2.03161403e-06
2458656.62719708  -1.10531948e+02  -6.81699917e+01  7.65553036e-01  5.07448077e-02  2.05057111e-06
2458656.65631644  -1.15356249e+02  -5.95526213e+01  7.32714180e-01  2.59205333e-02  2.13649117e-06
2458656.66451058  -1.16020131e+02  -5.70763216e+01  7.82982890e-01  9.90176315e-02  2.14153836e-06
2458656.66451060  -1.16020133e+02  -5.70763151e+01  8.07467157e-01  2.92132428e-02  2.16121194e-06
2458656.68012766  -1.16429172e+02  -5.23334729e+01  8.21018965e-01  2.63973385e-02  2.15628156e-06
2458656.68762254  -1.16226175e+02  -5.00573451e+01  7.91724117e-01  7.38507447e-02  2.15258253e-06
2458656.70556241  -1.14689209e+02  -4.46469359e+01  7.23620891e-01  3.98324057e-02  2.12381191e-06
2458656.71338621  -1.13559321e+02  -4.23174133e+01  7.89066595e-01  3.96371167e-02  2.10308443e-06
2458656.61829692  -1.08306961e+02  -7.07163627e+01  7.52991847e-01  1.90519903e-02  2.03716255e-06
2458656.61829691  -1.08306960e+02  -7.07163629e+01  7.46795498e-01  6.06610881e-02  2.05648565e-06
2458656.62719708  -1.10531947e+02  -6.81699930e+01  7.69224017e-01  4.83649982e-02  2.08181505e-06
2458656.62719708  -1.10531947e+02  -6.81699930e+01  7.77602208e-01  1.97530804e-02  2.10149914e-06
2458656.65631644  -1.15356249e+02  -5.95526212e+01  7.28063978e-01  2.48663901e-02  2.16081562e-06
2458656.65631644  -1.15356249e+02  -5.95526212e+01  7.46104164e-01  2.73081554e-02  2.18142447e-06
2458656.66451060  -1.16020133e+02  -5.70763151e+01  8.18799046e-01  3.23206120e-02  2.18921884e-06
