# HJD & lambda [m] & band [m] & F_lambda [J s^-1 m^-2 m^-1] & sigma [dtto] & dataset & filename
2459337.85417	1e-07	1e-07	1	1	1	vizier
2459337.85417	1.0011520708115819e-07	1.0011520708115819e-07	1	1	1	vizier
2459337.85417	1.0023054688903166e-07	1.0023054688903166e-07	1	1	1	vizier
2459337.85417	1.003460195765314e-07	1.003460195765314e-07	1	1	1	vizier
2459337.85417	1.0046162529674394e-07	1.0046162529674394e-07	1	1	1	vizier
2459337.85417	1.005773642029324e-07	1.005773642029324e-07	1	1	1	vizier
2459337.85417	1.0069323644853622e-07	1.0069323644853622e-07	1	1	1	vizier
2459337.85417	1.008092421871723e-07	1.008092421871723e-07	1	1	1	vizier
2459337.85417	1.0092538157263382e-07	1.0092538157263382e-07	1	1	1	vizier
2459337.85417	1.0104165475889122e-07	1.0104165475889122e-07	1	1	1	vizier
2459337.85417	1.0115806190009286e-07	1.0115806190009286e-07	1	1	1	vizier
2459337.85417	1.0127460315056416e-07	1.0127460315056416e-07	1	1	1	vizier
2459337.85417	1.0139127866480846e-07	1.0139127866480846e-07	1	1	1	vizier
2459337.85417	1.0150808859750694e-07	1.0150808859750694e-07	1	1	1	vizier
2459337.85417	1.0162503310351959e-07	1.0162503310351959e-07	1	1	1	vizier
2459337.85417	1.0174211233788419e-07	1.0174211233788419e-07	1	1	1	vizier
2459337.85417	1.0185932645581715e-07	1.0185932645581715e-07	1	1	1	vizier
2459337.85417	1.0197667561271428e-07	1.0197667561271428e-07	1	1	1	vizier
2459337.85417	1.0209415996414985e-07	1.0209415996414985e-07	1	1	1	vizier
2459337.85417	1.0221177966587752e-07	1.0221177966587752e-07	1	1	1	vizier
2459337.85417	1.0232953487383019e-07	1.0232953487383019e-07	1	1	1	vizier
2459337.85417	1.0244742574412109e-07	1.0244742574412109e-07	1	1	1	vizier
2459337.85417	1.0256545243304258e-07	1.0256545243304258e-07	1	1	1	vizier
2459337.85417	1.0268361509706717e-07	1.0268361509706717e-07	1	1	1	vizier
2459337.85417	1.0280191389284822e-07	1.0280191389284822e-07	1	1	1	vizier
2459337.85417	1.0292034897721891e-07	1.0292034897721891e-07	1	1	1	vizier
2459337.85417	1.0303892050719339e-07	1.0303892050719339e-07	1	1	1	vizier
2459337.85417	1.0315762863996642e-07	1.0315762863996642e-07	1	1	1	vizier
2459337.85417	1.0327647353291452e-07	1.0327647353291452e-07	1	1	1	vizier
2459337.85417	1.0339545534359491e-07	1.0339545534359491e-07	1	1	1	vizier
2459337.85417	1.0351457422974648e-07	1.0351457422974648e-07	1	1	1	vizier
2459337.85417	1.0363383034928967e-07	1.0363383034928967e-07	1	1	1	vizier
2459337.85417	1.0375322386032752e-07	1.0375322386032752e-07	1	1	1	vizier
2459337.85417	1.0387275492114452e-07	1.0387275492114452e-07	1	1	1	vizier
2459337.85417	1.0399242369020756e-07	1.0399242369020756e-07	1	1	1	vizier
2459337.85417	1.041122303261667e-07	1.041122303261667e-07	1	1	1	vizier
2459337.85417	1.0423217498785417e-07	1.0423217498785417e-07	1	1	1	vizier
2459337.85417	1.0435225783428537e-07	1.0435225783428537e-07	1	1	1	vizier
2459337.85417	1.0447247902465869e-07	1.0447247902465869e-07	1	1	1	vizier
2459337.85417	1.0459283871835661e-07	1.0459283871835661e-07	1	1	1	vizier
2459337.85417	1.0471333707494452e-07	1.0471333707494452e-07	1	1	1	vizier
2459337.85417	1.0483397425417167e-07	1.0483397425417167e-07	1	1	1	vizier
2459337.85417	1.0495475041597204e-07	1.0495475041597204e-07	1	1	1	vizier
2459337.85417	1.0507566572046314e-07	1.0507566572046314e-07	1	1	1	vizier
2459337.85417	1.0519672032794722e-07	1.0519672032794722e-07	1	1	1	vizier
2459337.85417	1.0531791439891097e-07	1.0531791439891097e-07	1	1	1	vizier
2459337.85417	1.0543924809402663e-07	1.0543924809402663e-07	1	1	1	vizier
2459337.85417	1.055607215741509e-07	1.055607215741509e-07	1	1	1	vizier
2459337.85417	1.0568233500032578e-07	1.0568233500032578e-07	1	1	1	vizier
2459337.85417	1.0580408853377948e-07	1.0580408853377948e-07	1	1	1	vizier
2459337.85417	1.0592598233592527e-07	1.0592598233592527e-07	1	1	1	vizier
2459337.85417	1.0604801656836262e-07	1.0604801656836262e-07	1	1	1	vizier
2459337.85417	1.0617019139287696e-07	1.0617019139287696e-07	1	1	1	vizier
2459337.85417	1.0629250697144076e-07	1.0629250697144076e-07	1	1	1	vizier
2459337.85417	1.0641496346621242e-07	1.0641496346621242e-07	1	1	1	vizier
2459337.85417	1.0653756103953718e-07	1.0653756103953718e-07	1	1	1	vizier
2459337.85417	1.0666029985394794e-07	1.0666029985394794e-07	1	1	1	vizier
2459337.85417	1.0678318007216424e-07	1.0678318007216424e-07	1	1	1	vizier
2459337.85417	1.0690620185709328e-07	1.0690620185709328e-07	1	1	1	vizier
2459337.85417	1.0702936537182969e-07	1.0702936537182969e-07	1	1	1	vizier
2459337.85417	1.071526707796567e-07	1.071526707796567e-07	1	1	1	vizier
2459337.85417	1.07276118244045e-07	1.07276118244045e-07	1	1	1	vizier
2459337.85417	1.0739970792865355e-07	1.0739970792865355e-07	1	1	1	vizier
2459337.85417	1.0752343999733056e-07	1.0752343999733056e-07	1	1	1	vizier
2459337.85417	1.0764731461411236e-07	1.0764731461411236e-07	1	1	1	vizier
2459337.85417	1.0777133194322445e-07	1.0777133194322445e-07	1	1	1	vizier
2459337.85417	1.0789549214908132e-07	1.0789549214908132e-07	1	1	1	vizier
